文件,函数,参数,注解
typer\core.py,__init__,hidden,bool
typer\core.py,__init__,rich_help_panel,"Union[str, None]"
typer\core.py,_get_default_string,return,str
typer\core.py,_get_default_string,ctx,click.Context
typer\core.py,_get_default_string,show_default_is_str,bool
typer\core.py,_get_default_string,default_value,"Union[list[Any], tuple[Any, ...], str, Callable[..., Any], Any]"
typer\core.py,_extract_default_help_str,return,"Optional[Union[Any, Callable[[], Any]]]"
typer\core.py,_extract_default_help_str,ctx,click.Context
typer\core.py,get_help_record,return,"Optional[tuple[str, str]]"
typer\core.py,get_help_record,ctx,click.Context
typer\core.py,make_metavar,return,str
typer\core.py,make_metavar,ctx,"Union[click.Context, None]"
typer\core.py,value_is_missing,return,bool
typer\core.py,value_is_missing,value,Any
typer\core.py,__init__,param_decls,list[str]
typer\core.py,__init__,type,"Optional[Union[click.types.ParamType, Any]]"
typer\core.py,__init__,required,Optional[bool]
typer\core.py,__init__,default,Optional[Any]
typer\core.py,__init__,callback,"Optional[Callable[..., Any]]"
typer\core.py,__init__,nargs,Optional[int]
typer\core.py,__init__,metavar,Optional[str]
typer\core.py,__init__,expose_value,bool
typer\core.py,__init__,is_eager,bool
typer\core.py,__init__,envvar,"Optional[Union[str, list[str]]]"
typer\core.py,__init__,shell_complete,"Optional[
        Callable[
            [click.Context, click.Parameter, str],
            Union[list[""click.shell_completion.CompletionItem""], list[str]],
        ]
    ]"
typer\core.py,__init__,autocompletion,"Optional[Callable[..., Any]]"
typer\core.py,__init__,show_default,"Union[bool, str]"
typer\core.py,__init__,prompt,"Union[bool, str]"
typer\core.py,__init__,confirmation_prompt,"Union[bool, str]"
typer\core.py,__init__,prompt_required,bool
typer\core.py,__init__,hide_input,bool
typer\core.py,__init__,is_flag,Optional[bool]
typer\core.py,__init__,multiple,bool
typer\core.py,__init__,count,bool
typer\core.py,__init__,allow_from_autoenv,bool
typer\core.py,__init__,help,Optional[str]
typer\core.py,__init__,hidden,bool
typer\core.py,__init__,show_choices,bool
typer\core.py,__init__,show_envvar,bool
typer\core.py,__init__,rich_help_panel,"Union[str, None]"
typer\core.py,_get_default_string,return,str
typer\core.py,_get_default_string,ctx,click.Context
typer\core.py,_get_default_string,show_default_is_str,bool
typer\core.py,_get_default_string,default_value,"Union[list[Any], tuple[Any, ...], str, Callable[..., Any], Any]"
typer\core.py,_extract_default_help_str,return,"Optional[Union[Any, Callable[[], Any]]]"
typer\core.py,_extract_default_help_str,ctx,click.Context
typer\core.py,make_metavar,return,str
typer\core.py,make_metavar,ctx,"Union[click.Context, None]"
typer\core.py,get_help_record,return,"Optional[tuple[str, str]]"
typer\core.py,get_help_record,ctx,click.Context
typer\core.py,_write_opts,return,str
typer\core.py,_write_opts,opts,Sequence[str]
typer\core.py,value_is_missing,return,bool
typer\core.py,value_is_missing,value,Any
typer\core.py,_value_is_missing,return,bool
typer\core.py,_value_is_missing,param,click.Parameter
typer\core.py,_value_is_missing,value,Any
typer\core.py,_typer_format_options,return,None
typer\core.py,_typer_format_options,self,click.core.Command
typer\core.py,_typer_format_options,ctx,click.Context
typer\core.py,_typer_format_options,formatter,click.HelpFormatter
typer\core.py,_typer_main_shell_completion,return,None
typer\core.py,_typer_main_shell_completion,self,click.core.Command
typer\core.py,_typer_main_shell_completion,ctx_args,"MutableMapping[str, Any]"
typer\core.py,_typer_main_shell_completion,prog_name,str
typer\core.py,_typer_main_shell_completion,complete_var,Optional[str]
typer\core.py,__init__,return,None
typer\core.py,__init__,name,Optional[str]
typer\core.py,__init__,context_settings,"Optional[dict[str, Any]]"
typer\core.py,__init__,callback,"Optional[Callable[..., Any]]"
typer\core.py,__init__,params,Optional[list[click.Parameter]]
typer\core.py,__init__,help,Optional[str]
typer\core.py,__init__,epilog,Optional[str]
typer\core.py,__init__,short_help,Optional[str]
typer\core.py,__init__,options_metavar,Optional[str]
typer\core.py,__init__,add_help_option,bool
typer\core.py,__init__,no_args_is_help,bool
typer\core.py,__init__,hidden,bool
typer\core.py,__init__,deprecated,bool
typer\core.py,__init__,rich_markup_mode,MarkupMode
typer\core.py,__init__,rich_help_panel,"Union[str, None]"
typer\core.py,format_options,return,None
typer\core.py,format_options,ctx,click.Context
typer\core.py,format_options,formatter,click.HelpFormatter
typer\core.py,_main_shell_completion,return,None
typer\core.py,_main_shell_completion,ctx_args,"MutableMapping[str, Any]"
typer\core.py,_main_shell_completion,prog_name,str
typer\core.py,_main_shell_completion,complete_var,Optional[str]
typer\core.py,main,return,Any
typer\core.py,main,args,Optional[Sequence[str]]
typer\core.py,main,prog_name,Optional[str]
typer\core.py,main,complete_var,Optional[str]
typer\core.py,main,standalone_mode,bool
typer\core.py,main,windows_expand_args,bool
typer\core.py,main,extra,Any
typer\core.py,format_help,return,None
typer\core.py,format_help,ctx,click.Context
typer\core.py,format_help,formatter,click.HelpFormatter
typer\core.py,__init__,return,None
typer\core.py,__init__,name,Optional[str]
typer\core.py,__init__,commands,"Optional[
        Union[dict[str, click.Command], Sequence[click.Command]]
    ]"
typer\core.py,__init__,rich_markup_mode,MarkupMode
typer\core.py,__init__,rich_help_panel,"Union[str, None]"
typer\core.py,__init__,suggest_commands,bool
typer\core.py,__init__,attrs,Any
typer\core.py,format_options,return,None
typer\core.py,format_options,ctx,click.Context
typer\core.py,format_options,formatter,click.HelpFormatter
typer\core.py,_main_shell_completion,return,None
typer\core.py,_main_shell_completion,ctx_args,"MutableMapping[str, Any]"
typer\core.py,_main_shell_completion,prog_name,str
typer\core.py,_main_shell_completion,complete_var,Optional[str]
typer\core.py,resolve_command,return,"tuple[Optional[str], Optional[click.Command], list[str]]"
typer\core.py,resolve_command,ctx,click.Context
typer\core.py,resolve_command,args,list[str]
typer\core.py,main,return,Any
typer\core.py,main,args,Optional[Sequence[str]]
typer\core.py,main,prog_name,Optional[str]
typer\core.py,main,complete_var,Optional[str]
typer\core.py,main,standalone_mode,bool
typer\core.py,main,windows_expand_args,bool
typer\core.py,main,extra,Any
typer\core.py,format_help,return,None
typer\core.py,format_help,ctx,click.Context
typer\core.py,format_help,formatter,click.HelpFormatter
typer\core.py,list_commands,return,list[str]
typer\core.py,list_commands,ctx,click.Context
typer\main.py,except_hook,return,None
typer\main.py,except_hook,exc_type,type[BaseException]
typer\main.py,except_hook,exc_value,BaseException
typer\main.py,except_hook,tb,Optional[TracebackType]
typer\main.py,get_install_completion_arguments,return,"tuple[click.Parameter, click.Parameter]"
typer\main.py,__init__,name,Optional[str]
typer\main.py,__init__,cls,Optional[type[TyperGroup]]
typer\main.py,__init__,invoke_without_command,bool
typer\main.py,__init__,no_args_is_help,bool
typer\main.py,__init__,subcommand_metavar,Optional[str]
typer\main.py,__init__,chain,bool
typer\main.py,__init__,result_callback,"Optional[Callable[..., Any]]"
typer\main.py,__init__,context_settings,"Optional[dict[Any, Any]]"
typer\main.py,__init__,callback,"Optional[Callable[..., Any]]"
typer\main.py,__init__,help,Optional[str]
typer\main.py,__init__,epilog,Optional[str]
typer\main.py,__init__,short_help,Optional[str]
typer\main.py,__init__,options_metavar,str
typer\main.py,__init__,add_help_option,bool
typer\main.py,__init__,hidden,bool
typer\main.py,__init__,deprecated,bool
typer\main.py,__init__,add_completion,bool
typer\main.py,__init__,rich_markup_mode,MarkupMode
typer\main.py,__init__,rich_help_panel,"Union[str, None]"
typer\main.py,__init__,suggest_commands,bool
typer\main.py,__init__,pretty_exceptions_enable,bool
typer\main.py,__init__,pretty_exceptions_show_locals,bool
typer\main.py,__init__,pretty_exceptions_short,bool
typer\main.py,callback,return,"Callable[[CommandFunctionType], CommandFunctionType]"
typer\main.py,callback,cls,Optional[type[TyperGroup]]
typer\main.py,callback,invoke_without_command,bool
typer\main.py,callback,no_args_is_help,bool
typer\main.py,callback,subcommand_metavar,Optional[str]
typer\main.py,callback,chain,bool
typer\main.py,callback,result_callback,"Optional[Callable[..., Any]]"
typer\main.py,callback,context_settings,"Optional[dict[Any, Any]]"
typer\main.py,callback,help,Optional[str]
typer\main.py,callback,epilog,Optional[str]
typer\main.py,callback,short_help,Optional[str]
typer\main.py,callback,options_metavar,Optional[str]
typer\main.py,callback,add_help_option,bool
typer\main.py,callback,hidden,bool
typer\main.py,callback,deprecated,bool
typer\main.py,callback,rich_help_panel,"Union[str, None]"
typer\main.py,decorator,return,CommandFunctionType
typer\main.py,decorator,f,CommandFunctionType
typer\main.py,command,return,"Callable[[CommandFunctionType], CommandFunctionType]"
typer\main.py,command,name,Optional[str]
typer\main.py,command,cls,Optional[type[TyperCommand]]
typer\main.py,command,context_settings,"Optional[dict[Any, Any]]"
typer\main.py,command,help,Optional[str]
typer\main.py,command,epilog,Optional[str]
typer\main.py,command,short_help,Optional[str]
typer\main.py,command,options_metavar,Optional[str]
typer\main.py,command,add_help_option,bool
typer\main.py,command,no_args_is_help,bool
typer\main.py,command,hidden,bool
typer\main.py,command,deprecated,bool
typer\main.py,command,rich_help_panel,"Union[str, None]"
typer\main.py,decorator,return,CommandFunctionType
typer\main.py,decorator,f,CommandFunctionType
typer\main.py,add_typer,return,None
typer\main.py,add_typer,typer_instance,"""Typer"""
typer\main.py,add_typer,name,Optional[str]
typer\main.py,add_typer,cls,Optional[type[TyperGroup]]
typer\main.py,add_typer,invoke_without_command,bool
typer\main.py,add_typer,no_args_is_help,bool
typer\main.py,add_typer,subcommand_metavar,Optional[str]
typer\main.py,add_typer,chain,bool
typer\main.py,add_typer,result_callback,"Optional[Callable[..., Any]]"
typer\main.py,add_typer,context_settings,"Optional[dict[Any, Any]]"
typer\main.py,add_typer,callback,"Optional[Callable[..., Any]]"
typer\main.py,add_typer,help,Optional[str]
typer\main.py,add_typer,epilog,Optional[str]
typer\main.py,add_typer,short_help,Optional[str]
typer\main.py,add_typer,options_metavar,Optional[str]
typer\main.py,add_typer,add_help_option,bool
typer\main.py,add_typer,hidden,bool
typer\main.py,add_typer,deprecated,bool
typer\main.py,add_typer,rich_help_panel,"Union[str, None]"
typer\main.py,__call__,return,Any
typer\main.py,__call__,args,Any
typer\main.py,__call__,kwargs,Any
typer\main.py,_info_val_str,return,str
typer\main.py,_info_val_str,name,str
typer\main.py,get_group,return,TyperGroup
typer\main.py,get_group,typer_instance,Typer
typer\main.py,get_command,return,click.Command
typer\main.py,get_command,typer_instance,Typer
typer\main.py,solve_typer_info_help,return,str
typer\main.py,solve_typer_info_help,typer_info,TyperInfo
typer\main.py,solve_typer_info_defaults,return,TyperInfo
typer\main.py,solve_typer_info_defaults,typer_info,TyperInfo
typer\main.py,get_group_from_info,return,TyperGroup
typer\main.py,get_group_from_info,group_info,TyperInfo
typer\main.py,get_group_from_info,pretty_exceptions_short,bool
typer\main.py,get_group_from_info,suggest_commands,bool
typer\main.py,get_group_from_info,rich_markup_mode,MarkupMode
typer\main.py,get_command_name,return,str
typer\main.py,get_command_name,name,str
typer\main.py,get_params_convertors_ctx_param_name_from_function,return,"tuple[list[Union[click.Argument, click.Option]], dict[str, Any], Optional[str]]"
typer\main.py,get_params_convertors_ctx_param_name_from_function,callback,"Optional[Callable[..., Any]]"
typer\main.py,get_command_from_info,return,click.Command
typer\main.py,get_command_from_info,command_info,CommandInfo
typer\main.py,get_command_from_info,pretty_exceptions_short,bool
typer\main.py,get_command_from_info,rich_markup_mode,MarkupMode
typer\main.py,determine_type_convertor,return,"Optional[Callable[[Any], Any]]"
typer\main.py,determine_type_convertor,type_,Any
typer\main.py,param_path_convertor,return,Optional[Path]
typer\main.py,param_path_convertor,value,Optional[str]
typer\main.py,generate_enum_convertor,return,"Callable[[Any], Any]"
typer\main.py,generate_enum_convertor,enum,type[Enum]
typer\main.py,convertor,return,Any
typer\main.py,convertor,value,Any
typer\main.py,generate_list_convertor,return,"Callable[[Optional[Sequence[Any]]], Optional[list[Any]]]"
typer\main.py,generate_list_convertor,convertor,"Optional[Callable[[Any], Any]]"
typer\main.py,generate_list_convertor,default_value,Optional[Any]
typer\main.py,internal_convertor,return,Optional[list[Any]]
typer\main.py,internal_convertor,value,Optional[Sequence[Any]]
typer\main.py,generate_tuple_convertor,return,"Callable[[Optional[tuple[Any, ...]]], Optional[tuple[Any, ...]]]"
typer\main.py,generate_tuple_convertor,types,Sequence[Any]
typer\main.py,internal_convertor,return,"Optional[tuple[Any, ...]]"
typer\main.py,internal_convertor,param_args,"Optional[tuple[Any, ...]]"
typer\main.py,get_callback,return,"Optional[Callable[..., Any]]"
typer\main.py,get_callback,callback,"Optional[Callable[..., Any]]"
typer\main.py,get_callback,params,Sequence[click.Parameter]
typer\main.py,get_callback,convertors,"Optional[dict[str, Callable[[str], Any]]]"
typer\main.py,get_callback,context_param_name,Optional[str]
typer\main.py,get_callback,pretty_exceptions_short,bool
typer\main.py,wrapper,return,Any
typer\main.py,wrapper,kwargs,Any
typer\main.py,get_click_type,return,click.ParamType
typer\main.py,get_click_type,annotation,Any
typer\main.py,get_click_type,parameter_info,ParameterInfo
typer\main.py,lenient_issubclass,return,bool
typer\main.py,lenient_issubclass,cls,Any
typer\main.py,lenient_issubclass,class_or_tuple,"Union[AnyType, tuple[AnyType, ...]]"
typer\main.py,get_click_param,return,"tuple[Union[click.Argument, click.Option], Any]"
typer\main.py,get_click_param,param,ParamMeta
typer\main.py,get_param_callback,return,"Optional[Callable[..., Any]]"
typer\main.py,get_param_callback,callback,"Optional[Callable[..., Any]]"
typer\main.py,get_param_callback,convertor,"Optional[Callable[..., Any]]"
typer\main.py,wrapper,return,Any
typer\main.py,wrapper,ctx,click.Context
typer\main.py,wrapper,param,click.Parameter
typer\main.py,wrapper,value,Any
typer\main.py,get_param_completion,return,"Optional[Callable[..., Any]]"
typer\main.py,get_param_completion,callback,"Optional[Callable[..., Any]]"
typer\main.py,wrapper,return,Any
typer\main.py,wrapper,ctx,click.Context
typer\main.py,wrapper,args,list[str]
typer\main.py,wrapper,incomplete,Optional[str]
typer\main.py,run,return,None
typer\main.py,run,function,"Callable[..., Any]"
typer\main.py,_is_macos,return,bool
typer\main.py,_is_linux_or_bsd,return,bool
typer\main.py,launch,return,int
typer\main.py,launch,url,str
typer\main.py,launch,wait,bool
typer\main.py,launch,locate,bool
typer\models.py,__init__,value,Any
typer\models.py,__bool__,return,bool
typer\models.py,Default,return,DefaultType
typer\models.py,Default,value,DefaultType
typer\models.py,__init__,name,Optional[str]
typer\models.py,__init__,cls,"Optional[type[""TyperCommand""]]"
typer\models.py,__init__,context_settings,"Optional[dict[Any, Any]]"
typer\models.py,__init__,callback,"Optional[Callable[..., Any]]"
typer\models.py,__init__,help,Optional[str]
typer\models.py,__init__,epilog,Optional[str]
typer\models.py,__init__,short_help,Optional[str]
typer\models.py,__init__,options_metavar,str
typer\models.py,__init__,add_help_option,bool
typer\models.py,__init__,no_args_is_help,bool
typer\models.py,__init__,hidden,bool
typer\models.py,__init__,deprecated,bool
typer\models.py,__init__,rich_help_panel,"Union[str, None]"
typer\models.py,__init__,typer_instance,"Optional[""Typer""]"
typer\models.py,__init__,name,Optional[str]
